gene_name number_of_transposon_per_gene number_of_read_per_gene
YAL069W 26 541
YAL068W-A 11 244
PAU8 7 124
YAL067W-A 4 9
SEO1 22 557
YAL066W 14 428
YAL065C 10 299
YAL064W-B 8 234
TDA8 17 540
YAL064W 9 34
YAL063C-A 16 838
FLO9 61 2527
GDH3 101 4472
BDH2 107 7930
BDH1 39 2092
YAL059C-A 20 765
ECM1 23 1028
CNE1 52 3047
YAL056C-A 20 982
GPB2 31 1051
PEX22 24 554
ACS1 86 4445
FLC2 56 1238
OAF1 81 3547
AIM2 28 1315
GEM1 59 2254
YAL047W-A 18 405
SPC72 10 88
AIM1 11 322
YAL045C 12 337
YAL044W-A 17 506
GCV3 19 446
PTA1 6 21
YAL042C-A 18 509
ERV46 34 980
CDC24 7 94
CLN3 10 111
CYC3 77 1723
CDC19 1 0
YAL037C-B 1 0
YAL037C-A 8 258
YAL037W 23 444
RBG1 26 565
FUN12 14 447
YAL034C-B 45 3053
MTW1 10 139
FUN19 56 2671
POP5 2 19
PRP45 33 1352
YAL031W-A 15 520
GIP4 47 1642
SNC1 15 433
MYO4 92 4735
FRT2 37 1478
SAW1 30 1081
YAL026C-A 12 77
DRS2 85 2659
MAK16 3 2
LTE1 43 997
PMT2 19 320
FUN26 53 2769
CCR4 27 322
ATS1 42 1369
YAL019W-A 64 4629
FUN30 92 3222
LDS1 36 1339
PSK1 96 3834
YAL016C-B 17 849
YAL016C-A 18 2338
TPD3 1 0
NTG1 57 2545
SYN8 39 1553
DEP1 36 877
CYS3 21 110
SWC3 43 2008
MDM10 12 168
SPO7 27 379
FUN14 28 852
ERP2 25 857
SSA1 98 4852
YAL004W 17 496
EFB1 1 0
VPS8 151 8656
TFC3 8 168
NUP60 62 1744
ERP1 58 2309
SWD1 28 362
RFA1 0 0
SEN34 6 131
BUD14 79 4066
ADE1 5 21
KIN3 47 947
CDC15 7 85
YAR019W-A 50 2599
PAU7 4 10
YAR023C 25 1347
UIP3 33 2180
YAR028W 33 2349
YAR029W 3 24
YAR030C 6 164
PRM9 20 822
MST28 35 1236
YAT1 270 11296
YAR035C-A 18 935
SWH1 72 3072
YAR047C 0 0
FLO1 84 3178
YAR053W 0 0
YAR060C 1 0
YAR064W 16 108
YAR066W 0 0
YAR068W 2 8
YAR069C 0 0
YAR070C 3 4
PHO11 4 3
IMD1 0 0
YAR075W 0 0
YBL113C 24 402
YBL113W-A 5 4
YBL112C 2 1
YBL111C 7 12
