gene_name number_of_transposon_per_gene number_of_read_per_gene
YAL069W 33 664
YAL068W-A 13 332
PAU8 4 60
YAL067W-A 3 2
SEO1 27 906
YAL066W 15 483
YAL065C 8 103
YAL064W-B 6 39
TDA8 11 274
YAL064W 6 17
YAL063C-A 20 1185
FLO9 54 2414
GDH3 112 4762
BDH2 99 7936
BDH1 43 1759
YAL059C-A 17 911
ECM1 20 1467
CNE1 44 2387
YAL056C-A 14 652
GPB2 25 498
PEX22 26 680
ACS1 92 4160
FLC2 50 2304
OAF1 80 3212
AIM2 30 1859
GEM1 51 2570
YAL047W-A 18 761
SPC72 5 26
AIM1 11 269
YAL045C 12 395
YAL044W-A 16 561
GCV3 16 308
PTA1 7 34
YAL042C-A 22 710
ERV46 32 1425
CDC24 5 9
CLN3 7 225
CYC3 69 1894
CDC19 2 1
YAL037C-B 1 0
YAL037C-A 7 370
YAL037W 23 727
RBG1 36 1332
FUN12 12 363
YAL034C-B 40 3978
MTW1 8 179
FUN19 51 2266
POP5 3 52
PRP45 32 1108
YAL031W-A 16 536
GIP4 46 1561
SNC1 12 457
MYO4 90 4060
FRT2 39 1608
SAW1 30 1014
YAL026C-A 13 114
DRS2 94 3790
MAK16 0 0
LTE1 48 1164
PMT2 23 549
FUN26 54 2897
CCR4 27 432
ATS1 32 1632
YAL019W-A 56 4032
FUN30 91 2979
LDS1 38 975
PSK1 98 4693
YAL016C-B 18 1092
YAL016C-A 23 1757
TPD3 3 2
NTG1 64 2714
SYN8 39 2554
DEP1 36 770
CYS3 21 249
SWC3 55 1802
MDM10 15 95
SPO7 30 646
FUN14 26 1013
ERP2 22 769
SSA1 85 2805
YAL004W 15 119
EFB1 2 1
VPS8 155 9456
TFC3 18 314
NUP60 57 1766
ERP1 54 2322
SWD1 18 169
RFA1 0 0
SEN34 5 124
BUD14 70 2728
ADE1 4 31
KIN3 44 567
CDC15 6 11
YAR019W-A 40 2148
PAU7 5 32
YAR023C 20 880
UIP3 42 2426
YAR028W 37 2378
YAR029W 3 31
YAR030C 4 66
PRM9 23 1127
MST28 33 1436
YAT1 263 11727
YAR035C-A 15 726
SWH1 78 2862
YAR047C 0 0
FLO1 89 3956
YAR053W 3 2
YAR060C 0 0
YAR064W 16 232
YAR066W 1 0
YAR068W 5 19
YAR069C 1 0
YAR070C 1 0
PHO11 7 14
IMD1 4 3
YAR075W 2 1
YBL113C 18 364
YBL113W-A 4 5
YBL112C 0 0
YBL111C 15 40
YBL109W 26 574
PAU9 0 0
YBL108W 18 696
YBL107W-A 2 1
MIX23 19 640
SRO77 43 1752
PKC1 6 16
SEA4 46 1982
RTG3 21 1259
SFT2 17 300
ECM21 57 2643
YBL100W-C 13 340
YBL100C 4 11
ATP1 6 29
BNA4 25 1213
BRN1 10 417
YBL096C 24 862
YBL095W 17 792
YBL094C 1 0
ROX3 9 444
RPL32 0 0
SCS22 14 624
MAP2 11 276
MRP21 3 23
AVT5 30 1069
TEL1 98 4637
RPL23A 27 728
YBL086C 6 56
BOI1 41 1473
CDC27 7 66
YBL083C 9 61
ALG3 18 117
YBL081W 12 127
PET112 20 136
NUP170 41 783
ATG8 5 20
YBL077W 14 787
ILS1 1 0
SSA3 89 3131
AAR2 22 699
YBL073W 20 1014
RPS8A 4 4
YBL071C-B 7 116
KTI11 1 0
YBL071C 5 129
YBL070C 14 1096
AST1 35 1756
YBL068W-A 6 111
PRS4 12 464
UBP13 35 1147
SEF1 46 1347
YBL065W 22 798
PRX1 20 618
KIP1 50 1945
YBL062W 6 272
SKT5 24 720
YEL1 36 1874
CMC2 1 0
YBL059W 12 197
SHP1 16 425
PTH2 18 857
PTC3 22 521
YBL055C 27 963
TOD6 29 1286
YBL053W 5 93
SAS3 36 975
PIN4 31 1543
SEC17 3 2
MOH1 9 178
RRT1 3 26
EDE1 59 1677
PSY4 33 1569
COR1 5 26
YBL044W 68 4189
ECM13 31 1253
FUI1 42 1393
PRE7 1 0
ERD2 7 52
YBL039W-B 3 4
URA7 31 1134
YBL039C-A 1 0
MRPL16 3 30
APL3 36 1469
YBL036C 17 769
POL12 14 291
STU1 21 261
RIB1 6 27
HEK2 23 605
SHE1 27 553
PET9 7 56
YBL029C-A 10 210
YBL029W 60 2806
YBL028C 12 987
RPL19B 14 98
LSM2 0 0
RRN10 2 16
NCL1 41 2499
MCM2 5 92
PIM1 52 952
HAP3 8 86
RFT1 5 7
APN2 49 2060
POP8 3 37
PEP1 93 3947
FUS3 63 2967
ACH1 75 5003
RRN6 9 31
FMT1 177 10135
YBL012C 27 1124
SCT1 62 3126
YBL010C 27 889
ALK2 63 2281
YBL008W-A 30 960
HIR1 38 793
SLA1 32 650
LDB7 35 1173
YBL006W-A 16 528
PDR3 114 6248
UTP20 11 127
HTA2 37 1248
HTB2 43 2839
ECM15 42 2220
NTH2 144 8922
RER2 18 772
COQ1 38 1363
GPI18 4 3
RCR1 55 3592
UGA2 137 9425
DSF2 125 7219
FLR1 111 7359
HHF1 12 99
HHT1 26 590
IPP1 9 86
YBR012C 22 562
YBR013C 15 631
GRX7 13 340
MNN2 29 828
YBR016W 30 944
KAP104 10 155
GAL7 35 1737
GAL10 103 5374
GAL1 71 3641
FUR4 44 1357
POA1 22 1272
CHS3 22 368
SCO2 51 2992
OLA1 27 1175
ETR1 18 166
YBR027C 44 1383
YPK3 37 1106
CDS1 6 71
RKM3 24 800
RPL4A 8 186
YBR032W 35 1495
EDS1 62 2231
HMT1 29 958
PDX3 7 161
CSG2 6 10
SCO1 12 190
CHS2 3 2
ATP3 12 140
FIG1 10 155
FAT1 17 394
CST26 28 1224
QDR3 43 1309
TCM62 30 868
GIP1 31 1389
ZTA1 17 178
FMP23 20 1043
RPS11B 8 39
REB1 5 77
REG2 20 776
YBR051W 6 169
RFS1 17 261
YBR053C 29 1290
YRO2 46 2320
PRP6 21 477
YBR056W 34 1159
YBR056W-A 5 32
YBR056C-B 5 32
MUM2 22 957
UBP14 20 413
TSC3 2 1
AKL1 52 2145
ORC2 11 288
TRM7 3 15
YBR062C 11 403
YBR063C 11 233
YBR064W 5 84
ECM2 24 1325
NRG2 23 579
TIP1 15 121
BAP2 60 2065
TAT1 32 1029
ALG14 1 0
YBR071W 22 639
HSP26 26 1183
YBR072C-A 10 194
RDH54 37 1245
PFF1 45 1776
ECM8 44 2537
YBR076C-A 20 1228
SLM4 9 101
ECM33 3 2
RPG1 14 76
SEC18 4 3
SPT7 26 438
UBC4 15 276
TEC1 42 2341
MIS1 41 1075
RPL19A 13 147
AAC3 8 318
YBR085C-A 5 58
IST2 38 834
RFC5 2 11
POL30 2 2
YBR089W 0 0
NHP6B 30 574
YBR090C 50 898
TIM12 0 0
PHO3 16 677
PHO5 25 907
PBY1 48 3011
RXT2 5 85
YBR096W 10 97
VPS15 12 173
MMS4 31 1062
YBR099C 3 42
FES1 4 6
EXO84 18 216
SIF2 17 558
YBR103C-A 26 1182
YMC2 25 760
VID24 24 1208
PHO88 14 336
IML3 9 157
AIM3 49 2285
CMD1 1 0
YBR109W-A 5 78
ALG1 0 0
YSA1 25 629
SUS1 9 324
CYC8 17 236
YBR113W 8 39
RAD16 35 2105
LYS2 64 3126
YBR116C 32 1261
TKL2 50 2063
TEF2 11 101
MUD1 14 505
CBP6 3 10
GRS1 0 0
YBR121C-A 0 0
MRPL36 3 42
TFC1 1 0
YBR124W 14 604
PTC4 21 442
TPS1 7 294
YBR126W-A 8 148
YBR126W-B 8 100
VMA2 4 139
ATG14 27 1501
OPY1 10 417
SHE3 11 254
CCZ1 7 12
YBR131C-A 1 0
AGP2 26 933
HSL7 8 51
YBR134W 18 661
CKS1 1 0
MEC1 18 127
YBR137W 15 877
YBR138C 16 336
YBR139W 19 786
IRA1 19 136
BMT2 25 1362
YBR141W-A 0 0
MAK5 10 17
SUP45 2 2
YBR144C 38 2655
ADH5 35 1291
MRPS9 8 103
RTC2 26 1158
YSW1 30 959
ARA1 18 377
TBS1 39 1258
APD1 21 936
SPP381 10 388
RIB7 2 1
RPB5 0 0
CNS1 0 0
SLI15 4 31
ICS2 12 612
AMN1 28 819
IFA38 1 0
CDC28 0 0
CSH1 12 432
TOS1 22 729
YSY6 3 18
EXO5 20 294
ARL1 2 22
UBS1 10 250
TYR1 24 636
POP7 0 0
PEX32 26 774
SSE2 36 1799
NPL4 14 106
SEC66 6 98
SMY2 17 692
UMP1 1 0
YBR174C 8 109
SWD3 8 145
ECM31 2 1
EHT1 12 228
YBR178W 39 1112
FZO1 11 159
DTR1 28 1014
RPS6B 7 43
SMP1 17 601
YBR182C-A 3 3
YPC1 18 252
YBR184W 16 397
MBA1 9 155
PCH2 41 2938
GDT1 7 105
NTC20 11 199
RPS9B 3 33
YBR190W 15 147
RPL21A 4 4
