gene_name number_of_transposon_per_gene number_of_read_per_gene
YAL069W 32 396
YAL068W-A 6 72
PAU8 7 43
YAL067W-A 9 18
SEO1 47 2317
YAL066W 19 553
YAL065C 5 7
YAL064W-B 12 573
TDA8 18 662
YAL064W 8 84
YAL063C-A 23 1416
FLO9 59 1500
GDH3 104 3657
BDH2 114 6589
BDH1 59 1971
YAL059C-A 18 363
ECM1 20 381
CNE1 66 4556
YAL056C-A 21 1594
GPB2 51 1365
PEX22 33 903
ACS1 115 4910
FLC2 61 1222
OAF1 101 3141
AIM2 20 950
GEM1 67 3052
YAL047W-A 24 1276
SPC72 14 372
AIM1 11 289
YAL045C 11 261
YAL044W-A 18 386
GCV3 15 693
PTA1 12 47
YAL042C-A 32 959
ERV46 50 2249
CDC24 3 4
CLN3 11 601
CYC3 81 1991
CDC19 5 5
YAL037C-B 3 2
YAL037C-A 10 346
YAL037W 27 530
RBG1 48 875
FUN12 12 193
YAL034C-B 44 4021
MTW1 12 208
FUN19 45 1283
POP5 2 1
PRP45 22 590
YAL031W-A 19 597
GIP4 63 2615
SNC1 13 272
MYO4 98 4068
FRT2 51 2163
SAW1 41 1308
YAL026C-A 33 682
DRS2 93 3734
MAK16 2 5
LTE1 39 360
PMT2 33 1183
FUN26 74 3645
CCR4 40 863
ATS1 49 2095
YAL019W-A 75 3940
FUN30 94 3037
LDS1 34 532
PSK1 105 3256
YAL016C-B 17 723
YAL016C-A 13 686
TPD3 3 3
NTG1 58 1857
SYN8 37 1549
DEP1 21 225
CYS3 21 324
SWC3 64 3469
MDM10 20 446
SPO7 19 220
FUN14 49 1785
ERP2 34 1569
SSA1 110 4404
YAL004W 10 200
EFB1 1 0
VPS8 217 15491
TFC3 11 103
NUP60 75 2059
ERP1 49 1606
SWD1 30 726
RFA1 3 17
SEN34 3 16
BUD14 97 3316
ADE1 2 1
KIN3 36 440
CDC15 5 4
YAR019W-A 56 2393
PAU7 10 25
YAR023C 29 1172
UIP3 35 1243
YAR028W 37 1639
YAR029W 9 169
YAR030C 9 114
PRM9 44 1981
MST28 33 1111
YAT1 325 10925
YAR035C-A 11 136
SWH1 83 2377
YAR047C 0 0
FLO1 123 5503
YAR053W 4 36
YAR060C 1 0
YAR064W 13 87
YAR066W 0 0
YAR068W 1 0
YAR069C 3 2
YAR070C 6 17
PHO11 4 3
IMD1 4 23
YAR075W 0 0
YBL113C 27 456
YBL113W-A 3 2
YBL112C 1 0
YBL111C 12 29
YBL109W 20 549
PAU9 0 0
YBL108W 14 370
YBL107W-A 0 0
MIX23 20 187
SRO77 56 2107
PKC1 5 19
SEA4 62 3154
RTG3 16 95
SFT2 24 1144
ECM21 84 6495
YBL100W-C 13 365
YBL100C 0 0
ATP1 4 5
BNA4 29 912
BRN1 15 74
YBL096C 19 495
YBL095W 26 547
YBL094C 7 31
ROX3 11 81
RPL32 1 0
SCS22 17 398
MAP2 25 983
MRP21 2 10
AVT5 40 1254
TEL1 119 4053
RPL23A 34 1185
YBL086C 12 106
BOI1 54 2077
CDC27 5 5
YBL083C 5 41
ALG3 15 407
YBL081W 12 152
PET112 8 89
NUP170 63 2309
ATG8 2 1
YBL077W 11 227
ILS1 2 1
SSA3 110 3230
AAR2 30 708
YBL073W 28 1465
RPS8A 2 1
YBL071C-B 3 7
KTI11 0 0
YBL071C 11 312
YBL070C 10 278
AST1 29 915
YBL068W-A 4 28
PRS4 15 331
UBP13 24 302
SEF1 45 1932
YBL065W 16 193
PRX1 21 573
KIP1 56 1645
YBL062W 10 480
SKT5 26 762
YEL1 41 1551
CMC2 3 4
YBL059W 22 708
SHP1 21 1189
PTH2 36 2251
PTC3 29 603
YBL055C 35 1368
TOD6 23 960
YBL053W 6 28
SAS3 36 1205
PIN4 28 623
SEC17 2 1
MOH1 8 21
RRT1 15 228
EDE1 48 1108
PSY4 32 952
COR1 2 1
YBL044W 76 5413
ECM13 37 866
FUI1 56 1921
PRE7 0 0
ERD2 9 31
YBL039W-B 2 6
URA7 23 404
YBL039C-A 1 0
MRPL16 3 5
APL3 60 2744
YBL036C 25 1286
POL12 13 95
STU1 24 929
RIB1 7 168
HEK2 22 749
SHE1 25 1379
PET9 3 15
YBL029C-A 9 70
YBL029W 95 3908
YBL028C 8 320
RPL19B 19 467
LSM2 0 0
RRN10 0 0
NCL1 41 973
MCM2 8 14
PIM1 35 721
HAP3 7 131
RFT1 10 186
APN2 62 1466
POP8 15 618
PEP1 118 3977
FUS3 45 1186
ACH1 69 2481
RRN6 10 137
FMT1 221 11938
YBL012C 34 1082
SCT1 77 2544
YBL010C 39 1583
ALK2 70 3022
YBL008W-A 29 1264
HIR1 46 801
SLA1 40 798
LDB7 28 606
YBL006W-A 14 294
PDR3 125 5739
UTP20 11 110
HTA2 32 684
HTB2 40 2166
ECM15 35 953
NTH2 149 5490
RER2 16 367
COQ1 28 576
GPI18 3 2
RCR1 68 4792
UGA2 143 8281
DSF2 144 5540
FLR1 138 9367
HHF1 9 39
HHT1 17 471
IPP1 7 62
YBR012C 13 219
YBR013C 41 1090
GRX7 16 633
MNN2 29 407
YBR016W 34 1136
KAP104 8 177
GAL7 56 1962
GAL10 122 4472
GAL1 84 4077
FUR4 49 1170
POA1 41 1796
CHS3 13 157
SCO2 56 1708
OLA1 16 92
ETR1 16 104
YBR027C 44 535
YPK3 38 1257
CDS1 7 29
RKM3 49 1688
RPL4A 8 23
YBR032W 32 1157
EDS1 81 2640
HMT1 19 475
PDX3 20 493
CSG2 8 72
SCO1 8 48
CHS2 11 38
ATP3 6 65
FIG1 14 290
FAT1 17 146
CST26 25 664
QDR3 50 1352
TCM62 49 1555
GIP1 49 1599
ZTA1 16 302
FMP23 31 1851
RPS11B 5 13
REB1 5 4
REG2 24 582
YBR051W 11 71
RFS1 27 780
YBR053C 43 1062
YRO2 39 1414
PRP6 22 629
YBR056W 29 1078
YBR056W-A 10 183
YBR056C-B 10 183
MUM2 19 426
UBP14 30 1107
TSC3 1 0
AKL1 54 1767
ORC2 10 294
TRM7 6 224
YBR062C 11 497
YBR063C 22 327
YBR064W 9 85
ECM2 22 633
NRG2 32 690
TIP1 11 306
BAP2 59 2241
TAT1 36 1811
ALG14 1 0
YBR071W 28 841
HSP26 39 2025
YBR072C-A 16 129
RDH54 34 1275
PFF1 40 1177
ECM8 48 1785
YBR076C-A 21 779
SLM4 12 79
ECM33 1 0
RPG1 14 184
SEC18 1 0
SPT7 15 100
UBC4 15 162
TEC1 38 684
MIS1 32 1530
RPL19A 14 55
AAC3 10 180
YBR085C-A 8 141
