gene_name number_of_transposon_per_gene number_of_read_per_gene
YAL069W 32 711
YAL068W-A 12 91
PAU8 9 80
YAL067W-A 8 100
SEO1 47 1457
YAL066W 26 815
YAL065C 15 435
YAL064W-B 12 77
TDA8 15 437
YAL064W 15 232
YAL063C-A 11 141
FLO9 72 2669
GDH3 141 5187
BDH2 130 6620
BDH1 60 1807
YAL059C-A 23 796
ECM1 29 1089
CNE1 65 1825
YAL056C-A 21 612
GPB2 55 849
PEX22 29 1419
ACS1 97 3372
FLC2 53 1577
OAF1 76 2762
AIM2 34 996
GEM1 61 2625
YAL047W-A 15 676
SPC72 7 183
AIM1 16 628
YAL045C 17 543
YAL044W-A 21 823
GCV3 16 240
PTA1 13 41
YAL042C-A 20 454
ERV46 54 1853
CDC24 6 11
CLN3 8 189
CYC3 95 1687
CDC19 9 36
YAL037C-B 8 34
YAL037C-A 13 405
YAL037W 51 1130
RBG1 46 1003
FUN12 6 54
YAL034C-B 32 1573
MTW1 16 210
FUN19 53 1448
POP5 2 5
PRP45 32 779
YAL031W-A 16 500
GIP4 77 2148
SNC1 31 793
MYO4 104 3997
FRT2 49 1779
SAW1 44 964
YAL026C-A 26 453
DRS2 100 2310
MAK16 4 8
LTE1 39 746
PMT2 23 344
FUN26 76 2022
CCR4 36 1417
ATS1 57 1904
YAL019W-A 66 2697
FUN30 100 2635
LDS1 53 1341
PSK1 118 3689
YAL016C-B 19 562
YAL016C-A 15 736
TPD3 5 94
NTG1 63 1865
SYN8 36 1452
DEP1 27 230
CYS3 29 187
SWC3 77 2853
MDM10 21 229
SPO7 32 216
FUN14 50 2106
ERP2 51 2181
SSA1 143 5547
YAL004W 17 464
EFB1 1 0
VPS8 242 12381
TFC3 18 612
NUP60 66 1384
ERP1 57 1851
SWD1 39 466
RFA1 8 104
SEN34 4 15
BUD14 100 3662
ADE1 1 0
KIN3 62 979
CDC15 4 3
YAR019W-A 66 2590
PAU7 11 223
YAR023C 22 561
UIP3 41 1919
YAR028W 33 1428
YAR029W 5 19
YAR030C 14 334
PRM9 37 1854
MST28 33 1024
YAT1 388 14238
YAR035C-A 19 369
SWH1 103 2908
YAR047C 0 0
FLO1 118 3786
YAR053W 4 32
YAR060C 1 0
YAR064W 23 299
YAR066W 2 1
YAR068W 0 0
YAR069C 4 3
YAR070C 1 0
PHO11 5 5
IMD1 3 4
YAR075W 0 0
YBL113C 18 27
YBL113W-A 3 2
YBL112C 2 1
YBL111C 15 33
YBL109W 31 926
PAU9 2 2
YBL108W 11 215
YBL107W-A 0 0
MIX23 23 504
SRO77 57 1286
PKC1 12 49
SEA4 75 1747
RTG3 27 509
SFT2 24 245
ECM21 80 2609
YBL100W-C 19 562
YBL100C 3 3
ATP1 5 25
BNA4 36 1318
BRN1 18 741
YBL096C 29 882
YBL095W 24 719
YBL094C 8 113
ROX3 19 1166
RPL32 0 0
SCS22 17 374
MAP2 26 664
MRP21 6 25
AVT5 34 949
TEL1 139 4055
RPL23A 36 727
YBL086C 11 235
BOI1 48 1349
CDC27 8 38
YBL083C 3 12
ALG3 15 294
YBL081W 25 836
PET112 15 65
NUP170 70 3081
ATG8 3 7
YBL077W 15 462
ILS1 4 4
SSA3 98 3027
AAR2 29 810
YBL073W 25 888
RPS8A 4 4
YBL071C-B 6 57
KTI11 1 0
YBL071C 9 139
YBL070C 15 233
AST1 30 926
YBL068W-A 6 261
PRS4 13 272
UBP13 40 1450
SEF1 42 713
YBL065W 21 698
PRX1 25 513
KIP1 79 2861
YBL062W 10 239
SKT5 26 713
YEL1 39 741
CMC2 3 3
YBL059W 28 1172
SHP1 19 454
PTH2 30 861
PTC3 23 1255
YBL055C 50 1662
TOD6 40 1518
YBL053W 10 216
SAS3 44 929
PIN4 31 436
SEC17 2 1
MOH1 10 236
RRT1 3 20
EDE1 57 925
PSY4 30 967
COR1 11 60
YBL044W 74 4615
ECM13 42 830
FUI1 77 2770
PRE7 1 0
ERD2 3 13
YBL039W-B 5 89
URA7 35 992
YBL039C-A 1 0
MRPL16 11 188
APL3 74 1816
YBL036C 22 1013
POL12 17 302
STU1 23 378
RIB1 5 16
HEK2 27 321
SHE1 30 876
PET9 8 50
YBL029C-A 27 369
YBL029W 95 3782
YBL028C 15 334
RPL19B 9 37
LSM2 4 3
RRN10 1 0
NCL1 34 1186
MCM2 5 4
PIM1 53 617
HAP3 10 50
RFT1 5 17
APN2 79 2263
POP8 6 34
PEP1 110 3462
FUS3 58 1990
ACH1 57 1832
RRN6 7 67
FMT1 216 9422
YBL012C 38 1114
SCT1 82 2026
YBL010C 38 1149
ALK2 89 2534
YBL008W-A 28 462
HIR1 70 1663
SLA1 36 781
LDB7 43 1523
YBL006W-A 17 478
PDR3 170 8634
UTP20 11 16
HTA2 42 1313
HTB2 46 1557
ECM15 41 1121
NTH2 158 6223
RER2 31 1708
COQ1 41 803
GPI18 5 4
RCR1 82 3636
UGA2 158 6840
DSF2 185 6367
FLR1 159 7410
HHF1 14 120
HHT1 29 385
IPP1 6 35
YBR012C 17 379
YBR013C 44 1378
GRX7 11 288
MNN2 44 828
YBR016W 32 884
KAP104 7 8
GAL7 56 1952
GAL10 131 5002
GAL1 97 4469
FUR4 49 948
POA1 36 1418
CHS3 14 158
SCO2 26 667
OLA1 37 889
ETR1 38 972
YBR027C 43 1293
YPK3 40 242
CDS1 5 6
RKM3 31 949
RPL4A 9 89
YBR032W 52 1528
EDS1 100 3370
HMT1 20 316
PDX3 23 685
CSG2 3 3
SCO1 16 61
CHS2 6 5
ATP3 8 113
FIG1 18 648
FAT1 11 192
CST26 29 370
QDR3 62 1557
TCM62 50 1311
GIP1 47 932
ZTA1 23 409
FMP23 21 662
RPS11B 15 129
REB1 6 5
REG2 20 207
YBR051W 9 121
RFS1 33 567
YBR053C 32 871
YRO2 39 1515
PRP6 33 1502
YBR056W 37 1545
YBR056W-A 5 111
YBR056C-B 5 111
MUM2 21 648
UBP14 23 532
TSC3 1 0
AKL1 63 2472
ORC2 13 103
TRM7 13 39
YBR062C 13 378
YBR063C 12 181
YBR064W 5 45
ECM2 15 235
