gene_name	number_of_transposon_per_gene	number_of_read_pergene
YAL069W 	9 	236 	
YAL068W-A 	2 	20 	
PAU8 	0 	0 	
YAL067W-A 	4 	7 	
SEO1 	30 	758 	
YAL066W 	5 	174 	
YAL065C 	3 	9 	
YAL064W-B 	4 	24 	
TDA8 	2 	29 	
YAL064W 	11 	164 	
YAL063C-A 	7 	271 	
FLO9 	42 	1748 	
GDH3 	90 	3779 	
BDH2 	63 	2158 	
BDH1 	40 	1338 	
YAL059C-A 	11 	354 	
ECM1 	16 	562 	
CNE1 	45 	1757 	
YAL056C-A 	16 	519 	
GPB2 	94 	3249 	
PEX22 	17 	195 	
ACS1 	103 	4189 	
FLC2 	52 	1399 	
OAF1 	73 	2329 	
AIM2 	25 	303 	
GEM1 	65 	1272 	
YAL047W-A 	17 	326 	
SPC72 	6 	75 	
AIM1 	11 	129 	
YAL045C 	9 	148 	
YAL044W-A 	13 	302 	
GCV3 	32 	1535 	
PTA1 	10 	264 	
YAL042C-A 	22 	908 	
ERV46 	62 	3029 	
CDC24 	6 	117 	
CLN3 	26 	628 	
CYC3 	81 	6180 	
CDC19 	2 	1 	
YAL037C-B 	2 	1 	
YAL037C-A 	7 	142 	
YAL037W 	36 	1002 	
RBG1 	50 	1768 	
FUN12 	7 	52 	
YAL034C-B 	19 	1332 	
MTW1 	12 	172 	
FUN19 	48 	1194 	
POP5 	4 	7 	
PRP45 	54 	1925 	
YAL031W-A 	12 	268 	
GIP4 	61 	1683 	
SNC1 	16 	754 	
MYO4 	150 	5055 	
FRT2 	56 	2658 	
SAW1 	35 	898 	
YAL026C-A 	19 	409 	
DRS2 	65 	1108 	
MAK16 	2 	2 	
LTE1 	20 	376 	
PMT2 	73 	2113 	
FUN26 	70 	3041 	
CCR4 	48 	1452 	
ATS1 	50 	1840 	
YAL019W-A 	45 	2129 	
FUN30 	76 	2314 	
LDS1 	38 	918 	
PSK1 	104 	3145 	
YAL016C-B 	14 	93 	
YAL016C-A 	6 	244 	
TPD3 	4 	5 	
NTG1 	70 	3580 	
SYN8 	35 	1868 	
DEP1 	54 	689 	
CYS3 	4 	20 	
SWC3 	85 	1845 	
MDM10 	12 	84 	
SPO7 	43 	717 	
FUN14 	50 	2727 	
ERP2 	47 	3622 	
