gene_name	number_of_transposon_per_gene	number_of_read_pergene
YAL069W 	16 	352 	
YAL068W-A 	10 	75 	
PAU8 	2 	1 	
YAL067W-A 	10 	53 	
SEO1 	54 	718 	
YAL066W 	21 	230 	
YAL065C 	12 	99 	
YAL064W-B 	7 	93 	
TDA8 	9 	91 	
YAL064W 	13 	151 	
YAL063C-A 	13 	270 	
FLO9 	78 	1589 	
GDH3 	152 	6879 	
BDH2 	101 	2495 	
BDH1 	66 	1340 	
YAL059C-A 	17 	239 	
ECM1 	27 	505 	
CNE1 	94 	2965 	
YAL056C-A 	23 	595 	
GPB2 	145 	2467 	
PEX22 	34 	1068 	
ACS1 	133 	3237 	
FLC2 	105 	2381 	
OAF1 	122 	1902 	
AIM2 	41 	1089 	
GEM1 	108 	2699 	
YAL047W-A 	24 	484 	
SPC72 	6 	62 	
AIM1 	12 	262 	
YAL045C 	12 	113 	
YAL044W-A 	15 	173 	
GCV3 	37 	2600 	
PTA1 	10 	111 	
YAL042C-A 	29 	1323 	
ERV46 	110 	4179 	
CDC24 	13 	143 	
CLN3 	35 	475 	
CYC3 	91 	8410 	
CDC19 	4 	6 	
YAL037C-B 	4 	6 	
YAL037C-A 	14 	618 	
YAL037W 	59 	1212 	
RBG1 	72 	1652 	
FUN12 	23 	84 	
YAL034C-B 	15 	873 	
MTW1 	15 	205 	
FUN19 	82 	1312 	
POP5 	9 	17 	
PRP45 	62 	1176 	
YAL031W-A 	20 	432 	
GIP4 	103 	1805 	
SNC1 	29 	825 	
MYO4 	244 	3860 	
FRT2 	95 	1483 	
SAW1 	57 	1411 	
YAL026C-A 	36 	158 	
DRS2 	73 	720 	
MAK16 	8 	31 	
LTE1 	34 	363 	
PMT2 	132 	3338 	
FUN26 	98 	2382 	
CCR4 	109 	1458 	
ATS1 	75 	2840 	
YAL019W-A 	46 	2663 	
FUN30 	134 	2325 	
LDS1 	68 	785 	
PSK1 	190 	3440 	
YAL016C-B 	16 	164 	
YAL016C-A 	5 	128 	
TPD3 	6 	59 	
NTG1 	95 	3228 	
SYN8 	56 	1400 	
DEP1 	81 	1279 	
CYS3 	10 	51 	
SWC3 	133 	2545 	
MDM10 	41 	189 	
SPO7 	46 	798 	
