gene_name	number_of_transposon_per_gene	number_of_read_pergene
YAL069W 	9 	344 	
YAL068W-A 	8 	145 	
PAU8 	0 	0 	
YAL067W-A 	6 	49 	
SEO1 	40 	1407 	
YAL066W 	12 	307 	
YAL065C 	7 	169 	
YAL064W-B 	3 	11 	
TDA8 	7 	112 	
YAL064W 	9 	170 	
YAL063C-A 	9 	80 	
FLO9 	44 	1069 	
GDH3 	113 	9711 	
BDH2 	77 	5890 	
BDH1 	53 	2594 	
YAL059C-A 	13 	355 	
ECM1 	21 	776 	
CNE1 	64 	4993 	
YAL056C-A 	18 	1265 	
GPB2 	119 	4515 	
PEX22 	23 	966 	
ACS1 	109 	5137 	
FLC2 	68 	3317 	
OAF1 	84 	2493 	
AIM2 	28 	918 	
GEM1 	89 	4707 	
YAL047W-A 	18 	422 	
SPC72 	7 	60 	
AIM1 	7 	211 	
YAL045C 	12 	228 	
YAL044W-A 	13 	215 	
GCV3 	32 	918 	
PTA1 	16 	818 	
YAL042C-A 	25 	1010 	
ERV46 	81 	5090 	
CDC24 	7 	31 	
CLN3 	31 	543 	
CYC3 	95 	7288 	
CDC19 	3 	3 	
YAL037C-B 	3 	3 	
YAL037C-A 	10 	198 	
YAL037W 	42 	1514 	
RBG1 	58 	3557 	
FUN12 	13 	176 	
YAL034C-B 	21 	1456 	
MTW1 	19 	399 	
FUN19 	48 	1844 	
POP5 	5 	18 	
PRP45 	43 	2546 	
YAL031W-A 	23 	1218 	
GIP4 	76 	4405 	
SNC1 	25 	753 	
MYO4 	174 	7440 	
FRT2 	73 	3219 	
SAW1 	51 	2191 	
YAL026C-A 	28 	554 	
DRS2 	78 	1594 	
MAK16 	5 	72 	
LTE1 	17 	167 	
PMT2 	84 	4346 	
FUN26 	83 	4290 	
CCR4 	55 	1945 	
ATS1 	55 	6854 	
YAL019W-A 	34 	4590 	
FUN30 	106 	3535 	
LDS1 	67 	1985 	
PSK1 	119 	7203 	
YAL016C-B 	12 	90 	
YAL016C-A 	6 	295 	
TPD3 	6 	12 	
NTG1 	82 	4486 	
SYN8 	56 	4073 	
DEP1 	74 	1723 	
CYS3 	20 	457 	
SWC3 	118 	4676 	
MDM10 	96 	3624 	
SPO7 	47 	2049 	
FUN14 	50 	2069 	
ERP2 	55 	3664 	
SSA1 	67 	2336 	
YAL004W 	15 	273 	
EFB1 	0 	0 	
VPS8 	215 	20023 	
TFC3 	11 	511 	
NUP60 	163 	15679 	
ERP1 	54 	8146 	
SWD1 	103 	6990 	
RFA1 	6 	30 	
SEN34 	7 	104 	
BUD14 	128 	5847 	
ADE1 	0 	0 	
KIN3 	87 	2993 	
CDC15 	15 	491 	
YAR019W-A 	11 	4302 	
PAU7 	13 	971 	
YAR023C 	53 	6200 	
UIP3 	31 	1788 	
YAR028W 	28 	1434 	
YAR029W 	11 	95 	
YAR030C 	14 	741 	
PRM9 	30 	1746 	
MST28 	30 	1031 	
YAT1 	229 	17850 	
YAR035C-A 	14 	164 	
SWH1 	130 	6255 	
YAR047C 	11 	390 	
FLO1 	65 	2744 	
YAR053W 	9 	150 	
YAR060C 	0 	0 	
YAR064W 	18 	330 	
YAR066W 	0 	0 	
YAR068W 	4 	126 	
YAR069C 	0 	0 	
YAR070C 	3 	12 	
PHO11 	3 	61 	
IMD1 	8 	256 	
