gene_name	number_of_transposon_per_gene	number_of_read_pergene
YAL069W 	13 	273 	
YAL068W-A 	11 	115 	
PAU8 	3 	36 	
YAL067W-A 	11 	77 	
SEO1 	52 	1087 	
YAL066W 	16 	395 	
YAL065C 	9 	71 	
YAL064W-B 	3 	10 	
TDA8 	5 	22 	
YAL064W 	6 	24 	
YAL063C-A 	9 	73 	
FLO9 	64 	1293 	
GDH3 	142 	5114 	
BDH2 	83 	1847 	
BDH1 	67 	1365 	
YAL059C-A 	19 	304 	
ECM1 	27 	289 	
CNE1 	65 	924 	
YAL056C-A 	21 	191 	
GPB2 	137 	3011 	
PEX22 	29 	494 	
ACS1 	132 	2521 	
FLC2 	96 	1588 	
OAF1 	108 	1956 	
AIM2 	36 	696 	
GEM1 	99 	1325 	
YAL047W-A 	16 	398 	
SPC72 	7 	208 	
AIM1 	14 	198 	
YAL045C 	16 	180 	
YAL044W-A 	16 	264 	
GCV3 	36 	935 	
PTA1 	15 	150 	
YAL042C-A 	31 	1442 	
ERV46 	104 	4165 	
CDC24 	10 	76 	
CLN3 	28 	236 	
CYC3 	95 	6841 	
CDC19 	2 	1 	
YAL037C-B 	1 	0 	
YAL037C-A 	10 	311 	
YAL037W 	56 	1081 	
RBG1 	52 	1132 	
FUN12 	6 	45 	
YAL034C-B 	22 	1054 	
MTW1 	14 	204 	
FUN19 	73 	1420 	
POP5 	6 	7 	
PRP45 	61 	1450 	
YAL031W-A 	17 	474 	
GIP4 	99 	2054 	
SNC1 	44 	842 	
MYO4 	219 	4060 	
FRT2 	90 	1658 	
SAW1 	63 	1152 	
YAL026C-A 	24 	241 	
DRS2 	59 	389 	
MAK16 	7 	22 	
LTE1 	33 	249 	
PMT2 	92 	1551 	
FUN26 	108 	2296 	
CCR4 	65 	682 	
ATS1 	75 	2254 	
YAL019W-A 	54 	2502 	
FUN30 	119 	2239 	
LDS1 	56 	675 	
PSK1 	152 	2938 	
YAL016C-B 	17 	146 	
YAL016C-A 	6 	773 	
TPD3 	2 	10 	
NTG1 	84 	2521 	
SYN8 	45 	1217 	
DEP1 	79 	1161 	
CYS3 	1 	0 	
SWC3 	107 	1500 	
MDM10 	12 	25 	
SPO7 	49 	382 	
FUN14 	73 	2599 	
ERP2 	65 	1740 	
SSA1 	79 	1458 	
YAL004W 	15 	179 	
EFB1 	1 	0 	
VPS8 	195 	6633 	
TFC3 	11 	97 	
NUP60 	176 	5474 	
ERP1 	56 	4334 	
SWD1 	82 	1242 	
RFA1 	5 	30 	
SEN34 	6 	80 	
BUD14 	148 	2940 	
