gene_name	number_of_transposon_per_gene	number_of_read_pergene
YAL069W 	15 	183 	
YAL068W-A 	8 	49 	
PAU8 	3 	24 	
YAL067W-A 	8 	50 	
SEO1 	57 	903 	
YAL066W 	17 	253 	
YAL065C 	8 	86 	
YAL064W-B 	9 	48 	
TDA8 	6 	38 	
YAL064W 	7 	22 	
YAL063C-A 	3 	3 	
FLO9 	55 	908 	
GDH3 	127 	4817 	
BDH2 	76 	1421 	
BDH1 	61 	1670 	
YAL059C-A 	20 	214 	
ECM1 	27 	296 	
CNE1 	67 	1494 	
YAL056C-A 	18 	418 	
GPB2 	164 	4542 	
PEX22 	35 	560 	
ACS1 	106 	1825 	
FLC2 	87 	1440 	
OAF1 	92 	1514 	
AIM2 	28 	295 	
GEM1 	85 	2013 	
YAL047W-A 	21 	311 	
SPC72 	6 	34 	
AIM1 	9 	160 	
YAL045C 	13 	206 	
YAL044W-A 	16 	333 	
GCV3 	38 	674 	
PTA1 	17 	264 	
YAL042C-A 	24 	867 	
ERV46 	95 	2479 	
CDC24 	9 	72 	
CLN3 	23 	243 	
CYC3 	39 	649 	
CDC19 	1 	0 	
YAL037C-B 	1 	0 	
YAL037C-A 	10 	274 	
YAL037W 	42 	767 	
RBG1 	57 	1264 	
FUN12 	11 	193 	
YAL034C-B 	17 	993 	
MTW1 	14 	138 	
FUN19 	68 	1268 	
POP5 	4 	4 	
PRP45 	55 	1576 	
YAL031W-A 	15 	274 	
GIP4 	95 	1860 	
SNC1 	28 	727 	
MYO4 	177 	2764 	
FRT2 	76 	1455 	
SAW1 	45 	850 	
YAL026C-A 	26 	266 	
DRS2 	55 	583 	
MAK16 	6 	9 	
LTE1 	15 	144 	
PMT2 	75 	1245 	
FUN26 	82 	1539 	
CCR4 	72 	1378 	
ATS1 	62 	1628 	
YAL019W-A 	50 	2113 	
FUN30 	93 	1161 	
LDS1 	54 	834 	
PSK1 	134 	2390 	
YAL016C-B 	11 	126 	
YAL016C-A 	9 	597 	
TPD3 	4 	6 	
NTG1 	79 	2198 	
SYN8 	60 	1264 	
DEP1 	75 	1087 	
CYS3 	13 	110 	
SWC3 	138 	3456 	
MDM10 	93 	1523 	
SPO7 	45 	450 	
FUN14 	60 	2050 	
ERP2 	55 	2058 	
SSA1 	61 	1147 	
YAL004W 	10 	155 	
EFB1 	0 	0 	
VPS8 	260 	15307 	
TFC3 	9 	304 	
NUP60 	177 	9518 	
ERP1 	56 	4401 	
SWD1 	93 	2725 	
RFA1 	4 	31 	
SEN34 	6 	54 	
BUD14 	151 	3614 	
ADE1 	1 	0 	
KIN3 	78 	1110 	
CDC15 	7 	71 	
YAR019W-A 	13 	1571 	
PAU7 	15 	337 	
YAR023C 	49 	2581 	
UIP3 	46 	1256 	
YAR028W 	25 	566 	
YAR029W 	7 	38 	
YAR030C 	15 	175 	
PRM9 	23 	524 	
MST28 	28 	662 	
YAT1 	215 	7220 	
YAR035C-A 	9 	64 	
SWH1 	150 	3312 	
YAR047C 	6 	44 	
FLO1 	97 	2024 	
YAR053W 	9 	57 	
YAR060C 	0 	0 	
YAR064W 	17 	177 	
YAR066W 	1 	0 	
YAR068W 	1 	0 	
YAR069C 	0 	0 	
YAR070C 	5 	63 	
PHO11 	2 	3 	
IMD1 	9 	124 	
YAR075W 	7 	115 	
YBL113C 	12 	166 	
YBL113W-A 	0 	0 	
YBL112C 	0 	0 	
YBL111C 	1 	0 	
YBL109W 	19 	380 	
PAU9 	0 	0 	
