gene_name	number_of_transposon_per_gene	number_of_read_pergene
YAL069W 	7 	66 	
YAL068W-A 	1 	0 	
PAU8 	1 	0 	
YAL067W-A 	3 	2 	
SEO1 	17 	195 	
YAL066W 	3 	6 	
YAL065C 	5 	14 	
YAL064W-B 	1 	0 	
TDA8 	3 	13 	
YAL064W 	3 	6 	
YAL063C-A 	5 	29 	
FLO9 	25 	301 	
GDH3 	73 	1686 	
BDH2 	36 	532 	
BDH1 	14 	477 	
YAL059C-A 	9 	108 	
ECM1 	12 	158 	
CNE1 	30 	510 	
YAL056C-A 	16 	217 	
GPB2 	52 	1105 	
PEX22 	3 	11 	
ACS1 	62 	1256 	
FLC2 	28 	268 	
OAF1 	41 	695 	
AIM2 	9 	74 	
GEM1 	31 	511 	
YAL047W-A 	11 	70 	
SPC72 	5 	34 	
AIM1 	3 	19 	
YAL045C 	3 	63 	
YAL044W-A 	6 	208 	
GCV3 	8 	55 	
PTA1 	4 	22 	
YAL042C-A 	16 	862 	
ERV46 	62 	2528 	
CDC24 	1 	0 	
CLN3 	12 	238 	
CYC3 	42 	510 	
CDC19 	0 	0 	
YAL037C-B 	0 	0 	
YAL037C-A 	5 	91 	
YAL037W 	29 	429 	
RBG1 	37 	868 	
FUN12 	3 	25 	
YAL034C-B 	17 	493 	
MTW1 	7 	34 	
FUN19 	27 	350 	
POP5 	0 	0 	
PRP45 	38 	578 	
YAL031W-A 	7 	51 	
GIP4 	35 	485 	
SNC1 	13 	172 	
MYO4 	88 	1361 	
FRT2 	35 	489 	
SAW1 	23 	309 	
YAL026C-A 	16 	85 	
DRS2 	20 	145 	
MAK16 	0 	0 	
LTE1 	7 	55 	
PMT2 	50 	914 	
FUN26 	43 	375 	
CCR4 	17 	147 	
ATS1 	12 	169 	
YAL019W-A 	26 	1438 	
FUN30 	59 	1082 	
LDS1 	28 	463 	
PSK1 	67 	1104 	
YAL016C-B 	10 	69 	
YAL016C-A 	6 	46 	
TPD3 	0 	0 	
NTG1 	46 	712 	
SYN8 	28 	491 	
DEP1 	44 	534 	
CYS3 	1 	0 	
SWC3 	15 	230 	
MDM10 	1 	0 	
